instance,cad195,int118,int120,int121,int126
017ba03ed108f492c9293c7c95e5cae9-multiplier_14bits__miter_14,5100,5100,5100,5100,5100
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,5100,3586.72,3450.86,3568.76,3523.77
041ef0a56340a623c38e6b9012933624-shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598,1276,1812.8,1935.12,1644.95,1521.89
047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,3848,3714.37,4426.5,3653.22,4345.59
05f3a48298721d68cded8618b432e7c3-s85-100,2193,3181.99,4390.42,2938.87,2569.45
069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,4475,3868.64,4067.49,3720.04,3972.83
08abbb56b2345b2da7af8866a4e8ad44-size_4_5_5_i037_w31_r9,4552,2905.36,3803.21,3412.83,3033.33
0a7c533c247dac95d79cc0ff3cd0fb9f-rphp4_100_shuffled,2293,1979.56,2336.63,1975.76,2154.08
0acb650946685281a796dcada88f8cfd-SGI_30_60_25_40_2-dir.shuffled-as.sat03-120,1631,3059.31,2888.22,2762.66,2017.22
0b4421f6aac81e2dbc87c5b5ddae6511-52bits_12.dimacs,5100,2964.61,289.69,3595.06,2933.8
0cab9100cdd8505069301d658d085899-AProVE07-01,4317,3859.16,3891.43,3869.21,3872.45
0d16634437519c6d2e1ae0cf82145e07-connm-ue-csp-sat-n1200-d-0.04-s706145924.used-as.sat04-971,572,3931.02,238.45,339.42,3352.93
107e43f3e7616bc80201d3694a7fba14-sgen1-unsat-85-100,3239,4111.75,3541.27,3733.19,3158.28
10aca82b7b9798a9a088f4df2c324d1d-cruxmiter29seed9,4603,5100,1885.88,5100,5100
11f7856b53db9263e48e81a61b0573fd-sted5_0x0-157,5,5.43,1760.98,5.51,5.36
1575dcf4547f5854850b971013683c37-edit_distance007_85,743,1183.66,1325.38,1079.24,905.37
183d151693172be95f047880198a586a-a_rphp098_04,4069,2506.94,2158.19,2073.97,2270.58
19c3796341c9361f30fc4d03d1914fb6-hitag2-10-60-0-0xdf7fa6426edec07-17,2630,2794.6,2729.38,2620.44,2382.24
19dc8e4bf621cbc8a762c35525f883d6-50bits_13.dimacs,718,1483.61,1822.35,2212.54,1417.32
1b72d2cd3e978b7ad976b6f1d2174dd4-edges-070-3-10062999-36,1385,2484.13,2344.75,2598.8,2153.53
1bd9d36816a8b56557a2fe470a8cbf1c-hwb-n26-03-S540351185.sat05-490.reshuffled-07,1628,4090.68,2869.31,3423.19,1450.29
1d6457d39153524c91ddada7eaee8ce7-hitag2-7-60-0-0xc048b9ebae66e9d-32-SAT,4657,4214.56,1063.59,1145.05,986.46
217256b141ade2c4d06120f01360f63a-a_rphp035_05,613,580.25,465.59,562.97,499.21
25fb7464ca6edd09189582fedaf5dba6-bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,1801,2054.28,1840.8,1902.83,1768.2
261e338938f4757e91f0cf753484d662-connm-ue-csp-sat-n800-d0.02-s111845174.sat05-536.reshuffled-07,5100,4095.94,4446.56,4618,4988.33
2d6d26e1c5b4f2763c03697a6d00d3cf-fixedbandwidth-eq-31_shuffled,5100,5100,5100,5100,5100
2da2d8242d31196d7a3d282e9cae4706-hwb-n26-02-S1189729474.shuffled-as.sat03-1623,2477,1599.45,1960.68,2024.84,2351.51
2de2fae0ba0682cdde41af2216550302-SGI_30_60_28_50_8-dir.shuffled-as.sat03-128,5100,5100,5100,5100,5100
2eee5bfbc4019900d2cac2206949defe-homer19.shuffled,5100,5100,5100,5100,5100
307586ddb51dbb0217b1611876e59882-aes_32_3_keyfind_1-sc2011,1663,929.36,807.86,644.08,522.24
